1,1,1,2
2,1,2,3
3,1,3,1
4,2,4,1
5,2,5,1
6,2,6,1
7,3,7,4
8,3,8,2
9,3,9,5
10,4,10,10
11,4,11,1
12,4,12,1
13,5,13,3
14,5,14,2
15,5,15,6
16,5,16,12
17,6,17,1
18,6,18,1
19,6,19,2
20,7,20,3
21,7,21,3
22,7,22,2
23,8,23,1
24,8,24,1
25,8,25,1
26,8,26,2
27,9,27,1
28,9,28,1
29,9,29,1
30,9,30,1
31,10,4,1
32,10,5,2
33,10,6,3
34,11,7,1
35,11,8,1
36,11,9,1
37,12,10,4
38,12,11,2
39,12,12,3
40,13,13,1
41,13,14,2
42,13,15,3
43,14,16,1
44,14,17,1
45,14,18,1
46,15,19,2
47,15,20,2
48,15,21,1
49,16,22,3
50,16,23,1
51,16,24,1
52,17,25,2
53,17,26,2
54,17,27,1
55,18,28,1
56,18,29,1
57,18,30,1
58,19,1,4
59,19,2,1
60,19,3,2
61,20,4,3
62,20,5,1
63,20,6,2
64,21,7,1
65,21,8,1
66,21,9,1
67,22,10,2
68,22,11,2
69,22,12,1
70,23,13,1
71,23,14,1
72,23,15,1
73,24,16,1
74,24,17,1
75,24,18,1
76,25,19,2
77,25,20,2
78,25,21,1
79,26,22,3
80,26,23,1
81,26,24,1
82,27,25,2
83,27,26,2
84,27,27,1
85,28,28,1
86,28,29,1
87,28,30,1
88,29,1,4
89,29,2,1
90,29,3,2
91,30,4,3
92,30,5,1
93,30,6,2
94,31,7,1
95,31,8,1
96,31,9,1
97,32,10,2
98,32,11,2
99,32,12,1
100,33,13,1
101,34,14,2
102,34,15,3
103,34,16,1
104,35,17,1
105,35,18,1
106,35,19,1
107,36,20,4
108,36,21,2
109,36,22,3
110,37,23,1
111,37,24,1
112,37,25,1
113,38,26,2
114,38,27,2
115,38,28,1
116,39,29,1
117,39,30,1
118,39,1,1
119,40,2,2
120,40,3,1
121,40,4,2
122,41,5,1
123,41,6,2
124,41,7,3
125,42,8,2
126,42,9,1
127,42,10,2
128,43,11,1
129,43,12,1
130,43,13,1
131,44,14,1
132,44,15,1
133,44,16,1
134,45,17,2
135,45,18,2
136,45,19,1
137,46,20,3
138,46,21,1
139,46,22,1
140,47,23,2
141,47,24,2
142,47,25,1
143,48,26,1
144,48,27,1
145,48,28,1
146,49,29,1
147,49,30,1
148,49,1,2
149,50,2,1
150,50,3,1
151,50,4,1
152,51,5,2
153,51,6,1
154,51,7,1
155,52,8,3
156,52,9,1
157,52,10,2
158,53,11,1
159,53,12,1
160,53,13,1
161,54,14,1
162,54,15,1
163,54,16,1
164,55,17,3
165,55,18,1
166,55,19,2
167,56,20,1
168,56,21,1
169,56,22,1
170,57,23,2
171,57,24,1
172,57,25,1
173,58,26,2
174,58,27,2
175,58,28,1
176,59,29,1
177,59,30,1
178,59,1,1
179,60,2,2
180,60,3,1
181,60,4,2
182,61,5,1
183,61,6,2
184,61,7,3
185,62,8,2
186,62,9,1
187,62,10,2
188,63,11,1
189,63,12,1
190,63,13,1
191,64,14,1
192,64,15,1
193,64,16,1
194,65,17,2
195,65,18,2
196,65,19,1
197,66,20,3
198,66,21,1
199,66,22,1
200,67,23,2
201,67,24,2
202,67,25,1
203,68,26,1
204,68,27,1
205,68,28,1
206,69,29,1
207,69,30,1
208,69,1,2
209,70,2,1
210,70,3,1
211,70,4,1
212,71,5,2
213,71,6,1
214,71,7,1
215,72,8,3
216,72,9,1
217,72,10,2
218,73,11,1
219,73,12,1
220,73,13,1
221,74,14,1
222,74,15,1
223,74,16,1
224,75,17,3
225,75,18,1
226,75,19,2
227,76,20,1
228,76,21,1
229,76,22,1
230,77,23,2
231,77,24,1
232,77,25,1
233,78,26,2
234,78,27,2
235,78,28,1
236,79,29,1
237,79,30,1
238,79,1,1
239,80,2,2
240,80,3,1
241,80,4,2
242,81,5,1
243,81,6,2
244,81,7,3
245,82,8,2
246,82,9,1
247,82,10,2
248,83,11,1
249,83,12,1
250,83,13,1
251,84,14,1
252,84,15,1
253,84,16,1
254,85,17,2
255,85,18,2
256,85,19,1
257,86,20,3
258,86,21,1
259,86,22,1
260,87,23,2
261,87,24,2
262,87,25,1
263,88,26,1
264,88,27,1
265,88,28,1
266,89,29,1
267,89,30,1
268,89,1,2
269,90,2,1
270,90,3,1
271,90,4,1
272,91,5,2
273,91,6,1
274,91,7,1
275,92,8,3
276,92,9,1
277,92,10,2
278,93,11,1
279,93,12,1
280,93,13,1
281,94,14,1
282,94,15,1
283,94,16,1
284,95,17,3
285,95,18,1
286,95,19,2
287,96,20,1
288,96,21,1
289,96,22,1
290,97,23,2
291,97,24,1
292,97,25,1
293,98,26,2
294,98,27,2
295,98,28,1
296,99,29,1
297,99,30,1
298,99,1,1
299,100,2,2
300,100,3,1
301,100,4,2
